,date,season,year,month,holiday,weekday,workingday,weather,temp,hum,windspeed,casual,registered
0,2018-01-01,winter,0,1,holiday,Monday,weekend or holiday,cloudy,14.110847,80.5833,10.749882,331,654
1,2018-01-02,winter,0,1,not holiday,Tuesday,workingday,cloudy,14.902598,69.6087,16.652113,131,670
2,2018-01-03,winter,0,1,not holiday,Wednesday,workingday,clear,8.050924,43.7273,16.636703,120,1229
3,2018-01-04,winter,0,1,not holiday,Thursday,workingday,clear,8.2,59.0435,10.739832,108,1454
4,2018-01-05,winter,0,1,not holiday,Friday,workingday,clear,9.305237,43.6957,12.5223,82,1518
5,2018-01-06,winter,0,1,not holiday,Saturday,weekend or holiday,clear,8.378268,51.8261,6.0008684,88,1518
6,2018-01-07,winter,0,1,not holiday,Sunday,weekend or holiday,cloudy,8.057402,49.8696,11.304642,148,1362
7,2018-01-08,winter,0,1,not holiday,Monday,workingday,cloudy,6.765,53.5833,17.875868,68,891
8,2018-01-09,winter,0,1,not holiday,Tuesday,workingday,clear,5.671653,43.4167,24.25065,54,768
9,2018-01-10,winter,0,1,not holiday,Wednesday,workingday,clear,6.184153,48.2917,14.958889,41,1280
10,2018-01-11,winter,0,1,not holiday,Thursday,workingday,cloudy,6.932731,68.6364,8.182844,43,1220
11,2018-01-12,winter,0,1,not holiday,Friday,workingday,clear,7.081807,59.9545,20.410009,25,1137
12,2018-01-13,winter,0,1,not holiday,Saturday,weekend or holiday,clear,6.765,47.0417,20.167,38,1368
13,2018-01-14,winter,0,1,not holiday,Sunday,weekend or holiday,clear,6.59567,53.7826,8.478716,54,1367
14,2018-01-15,winter,0,1,holiday,Monday,weekend or holiday,cloudy,9.566653,49.875,10.583521,222,1026
15,2018-01-16,winter,0,1,not holiday,Tuesday,workingday,clear,9.498347,48.375,12.625011,251,953
16,2018-01-17,winter,0,1,not holiday,Wednesday,workingday,cloudy,7.209153,53.75,12.999139,117,883
17,2018-01-18,winter,0,1,not holiday,Thursday,workingday,cloudy,8.883347,86.1667,9.833925,9,674
18,2018-01-19,winter,0,1,not holiday,Friday,workingday,cloudy,11.979134,74.1739,13.957239,78,1572
19,2018-01-20,winter,0,1,not holiday,Saturday,weekend or holiday,cloudy,10.728347,53.8333,13.125568,83,1844
20,2018-01-21,winter,0,1,not holiday,Sunday,weekend or holiday,clear,7.2775,45.7083,23.667214,75,1468
21,2018-01-22,winter,0,1,not holiday,Monday,workingday,clear,2.4243464,40.0,11.52199,93,888
22,2018-01-23,winter,0,1,not holiday,Tuesday,workingday,clear,3.9573897,43.6522,16.5222,150,836
23,2018-01-24,winter,0,1,not holiday,Wednesday,workingday,clear,3.9930433,49.1739,10.60811,86,1330
24,2018-01-25,winter,0,1,not holiday,Thursday,workingday,cloudy,9.162598,61.6957,8.696332,186,1799
25,2018-01-26,winter,0,1,not holiday,Friday,workingday,stormy,8.9175,86.25,19.68795,34,472
26,2018-01-27,winter,0,1,not holiday,Saturday,weekend or holiday,clear,7.995,68.75,7.627079,15,416
27,2018-01-28,winter,0,1,not holiday,Sunday,weekend or holiday,cloudy,8.342598,79.3043,8.2611,38,1129
28,2018-01-29,winter,0,1,not holiday,Monday,workingday,clear,8.057402,65.1739,9.739455,123,975
29,2018-01-30,winter,0,1,not holiday,Tuesday,workingday,clear,8.877402,72.2174,4.9568342,140,956
30,2018-01-31,winter,0,1,not holiday,Wednesday,workingday,cloudy,7.414153,60.375,12.541864,42,1459
31,2018-02-01,winter,0,2,not holiday,Thursday,workingday,cloudy,7.879134,82.9565,3.565271,47,1313
